setting classpath for java classes ( jar file ) in XUL , to access via javascript	V N P ^ N , ^ N , P ^ , P V P ^
It seems like there's got to be a better way to do what you're trying to do . What you propose is a very unnatural pairing ( regex to find js tag & then eval while using GWT )	O V P L V P V D A N P V O L V P V , D O V V D R A N , ^ P V ^ N & R ^ P V ^ ,
How about to start with . You may need to customize it a bit to accept the src attribute with single quotes or without quotes . ignore white between the ' script ' and ' ' You also must use the DOTALL mode to ensure the . captures newlines .	R P P V P , O V V P V O D N P V D ^ V P A N & P N , V N P D = N = & = = O R V V D ^ N P V D = V N ,
Must it be a regex ? You can use the DOM to obtain such information , here is a trivial example of getting the contents of the BODY tag , you could apply it to whatever you like :	V O V D ^ , O V V D ^ P V A N , R V D A N P V D N P D ^ N , O V V O P D O V ,
This seems to do what you want : That being said , you would probably be better off using something like Tag Soup if it is at all possible .	D V P V D O V , O V V , O V R V R O V N P ^ ^ P O V P D A ,
Thanks for all the great suggestions everyone . I quickly discovered it's not possible to use Java's Regex API in GWT and was able to do what I wanted with JSNI . Unfortunately , I ran into additional issues as documented in the following thread : http://groups.google.com/group/Google-Web-Toolkit/browse_thread/thread/ac2589369ddec8a3	N P X D A N N , O R V L R A P V Z ^ ^ P ^ & V A P V O O V P ^ , R , O V P A N P V P D N N , U
Are Java Applets unable to communicate with javascript within Firefox on Mac OS ?	V ^ N A P V P ^ P ^ P ^ ^ ,
The mayscript and scriptable attributes are necessary indeed . But I already include them in my applet tag , otherwise it wouldn't work at all with other browsers .	D ^ & A V V A R , & O R V O P D N N , R O V V P X P A N ,
Thank you , this is much better , even if I set the entire text each time .	V O , O V R R , R P O V D A N D N ,
Thanks , this is good to know for the future . In this particular case I ended up not using the browser widget but a tree viewer ( for other reasons ) .	N , O V A P V P D N , P D A N O V T R V D N N & D N N , P A N , ,
Look no further , you already mentioned GWT pick that ! It has a very good API and many good applications have use them . Even JavaScript frameworks like http://extjs.com have GWT support . I use it for an small JavaScript calendar recently . To be honest , I don't really like JavaScript that much . Most of the times the errors are hard to track ( specially for a non JavaScript guy as me ) and the workarounds included some plug-ins for the explorer just to get exactly what a compiler should do . Catch silly error early . In the other hand I'm very familiar with the Java Programming language , and many of the libraries ( if not the most important ) such as java.lang and java.util have been ported to GWT . Plus , the guy who wrote relevant parts of java.util is the same behind GWT ( google Joshua Bloch . )	V D R , O R V ^ V O , O V D R A ^ & A A N V V O , R ^ ^ P U V ^ N , O V O P D A ^ N R , P V A , O V R P ^ D A , R P D ^ D N V R P N , R P D G ^ N P O , & D N V D N P D N R P V R O D N V V , V A N A , P D A N L R A P D ^ N N , & A P D N , P R D R A , R P ^ & ^ V V V P ^ , ^ , D N O V A N P ^ V D A P ^ , ^ ^ ^ , ,
Gee , really ? Drive-by-downvoting ?	! , R , V ,
Last time I went to the Script# site , I saw that jQuery is on the roadmap for the next release of Script# ( due some time in 2009 ) .	A N O V P D ^ N , O V D ^ V P D N P D A N P ^ , A D N P $ , ,
Check this open source Java project http://st-js.org it produces clean javascript code that is clean , easy to read and easy to debug .	V D A N ^ N U O V A ^ N P V A , A P V & A P V ,
Inside my GWT app I create a Frame object . Then I do frame.setUrl ( " / path / to / legacy_content ") - so the browser essentially loads a new page into the frame . The legacy content happens to be generated by a JSP .	P D ^ N O V D ^ N , R O V ^ G G G G G G G G G , P D N R P D A N P D N , D N N V P V V P D ^ ,
How do I limit my date range on an Ajax Calendar ?	R V O V D N N P D ^ N ,
If you're using the asp.net calendar control , use the DayRender event to check each day against the date limit you wish to impose .	P L V D ^ N N , V D ^ N P V D N P D N N O V P V ,
Using the javascript engine that is shipped with Java 6 : import javax.script.ScriptEngine ; import javax.script.ScriptEngineManager ; public class Wow { public static void main ( String [] args ) throws Exception { ScriptEngineManager factory = new ScriptEngineManager() ; ScriptEngine engine = factory.getEngineByName ( " JavaScript ") ; engine.eval ( " print ( encodeURIComponent ( ' " A " B "'))") ; } } Output : %22A%22%20B%20%c2%b1%20%22 The case is different but it's closer to what you want .	V D ^ N O V V P ^ $ , G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G N , G D N V A & L R P O O V ,
Even if he was using Java 6 , I think this solution is WAY over the top . I don't think he's looking for a way to directly invoke the javascript method , just a way to emulate it .	R P O V V ^ $ , O V D N V R P D N , O V V L V P D N P R V D ^ N , R D N P V O ,
Looking at the implementation differences , I see that : MDC on encodeURIComponent() : literal characters ( regex representation ): [-a-zA-Z0- 9._ *~ ' ( ) ! ] Java 1.5 . 0 documentation on URLEncoder : literal characters ( regex representation ): [-a-zA-Z0- 9._ *] the space character " " is converted into a plus sign " + " . So basically , to get the desired result , use URLEncoder.encode ( s , " UTF-8 ") and then do some post-processing : replace all occurrences of " + " with " %20 " replace all occurrences of " %xx " representing any of [~ ' ( ) ! ] back to their literal counter-parts	V P D N N , O V O , ^ P ^ , A N , ^ N G G G G G G G G G ^ $ G $ N P ^ , A N , ^ N G G G G D N N , , V V P D N N G G G , P R , P V D A N , V ^ , G G G G G & R V D V , V D N P G G G P G G G V D N P G G G V D P G G G G G G N P D A N
Thanks for sharing the code ! :-) +1	N P V D N , E G
Thanks for a good solution ! The others look totally ... inefficient , IMO . Perhaps it'd be even better without the BitSet on today's hardware . Or two hard-coded longs for 0 ... 127 .	N P D A N , D N V R , A , G , R L V R R P D ^ P S N , & $ A N P $ ~ $ ,
I need to create slideshow of the images which are in server.These images would be changing as the user uploads . I need this using jsp / javascript / servlet / ajax	O V P V N P D N O V P G N V V V P D N V , O V D V ^ , ^ , ^ , ^
Is it possible to read the Browser ( Client machine ) time when a request is made to the servlet ?	V O A P V D N , N N , N R D N V V P D N ,
I've been looking into a way of passing the client ip as well as the userid and password from a JAAS login page to the JAAS login module implementation in my web code . JAAS only allows the user id and password to be passed to the login module . My idea is to have a java script code to append the ip address to the user id and then call the form submit . I just don't have the right java script code to do this . Can you help ? The web page has two input fields , j_userid and j_password , which the JAAS code knows to look it . So what javaScript code can I use to add the ip address to the j_userid field before the form submit . I was thinking of ' ip-address #userid ' and then in my login module I'd take the ip address off the userid .	L V V P D N P V D N ^ P R P D ^ & N P D ^ V N P D ^ V N N P D N N , ^ R V D N N & N P V V P D N N , D N V P V D ^ N N P V D N N P D N N & R V D N V , O R V V D A ^ N N P V O , V O V , D N N V $ N N , G & G , O D ^ N V P V O , P D ^ N V O V P V D N N P D G N P D N V , O V V P , N # , & R P D N ^ L V D N N T D N ,
How to get custom value from text field in JSP ?	R P V N N P N N P ^ ,
The way i use to do it is as follows : Replace add the deleteIt javascript function , in the function you fill a hidden input field with the id . Then submit the page and the correct id gets passed to your page Little sidenote its always prudent to escape all your Strings maybe like	D N G V P V O V P V , ^ V D N A N , P D N O V D A N N P D ^ , R V D N & D A L V V P D N A N L R A P V X D ^ R P
When you look at the page source in the browser does each row in the table have the same id ? If so the problem isn't with this code , it's with either the iteration logic or the cart item object . If not then there's something up with your JavaScript and it's time to crack out Firebug and take a look at what's going on .	R O V P D N N P D N V D N P D N V D A N , P P D N V P O N , L P X D N N & D N N N , P R R S O T P D ^ & L N P V T N & V D N P L V P ,
All Wicket components escape strings by default ( by Labels , TextFields , etc . ) , which avoids most common issues related to javascript injection . You should take appropriate care , though , if you disable this behavior ( component.setEscapeModelStrings ( false ) ) for some reason , or create custom-rendered components ( if you write the markup directly to the output ) .	D N N V N P N , P N , ^ , G , , , O V A A N V P ^ N , O V V A N , P , P O V O N , C , C , , P A N , & V A N , P O V D N R P D N , ,
yes.i am looking for graph visualization lib	O V V P N N N
The Graphviz open source graph visualization software is widely used to render graphs , and jGraphviz is a binding for java .	D ^ A N N N N V R V P V N , & ^ V D N P ^ ,
java or javascript ?	^ & ^ ,
Do applet javascript calls serialize in any proper way ? I'm considering implementing a model in which two threads send off javascript commands . One responds to requests from the browser ( js ) , and the other hits the browser periodically . My question is this : what happens if these two javascript requests collide ? I'm worried about concurrent javascript requests , as intuition leads me to believe that one of the calls will fail nondeterministically .	V N ^ V N P D A N , L V V D N P D $ N V T ^ N , O V P N P D N , ^ , , & D A V D N R , D N V D , O V P D $ ^ N V , L A P A ^ N , P N V O P V D $ P D N V V R ,
I'm not at all familiar with Tapestry 4.0 . 1 and need to update a legacy application to display a formatted tooltip for a few links within a @For loop . What is the easiest / best way to go about accomplishing this ? Should I be using the @Script component or is there a simpler way ? By the way , upgrading to a newer version of Tapestry is out of the question . Unfortunate , yes , but out of my control . Thanks in advance for your help . Carl	L R P X A P ^ $ , $ & V P V D N N P ^ D A N P D A N P D @ N , O V D A , A N P V P V D , V O V V D @ N & V R D A N , P D N , V P D A N P ^ V T P D N , N , ! , & R P D N , N P N P D N , ^
Use the @Any component . For your example , substitute MYTOOLTIP with whatever object is holding the message :	V D @ N , P D N , V N P R N V V D N ,
md5 hash for password string in GWT / GWT-Ext ?	^ N P N N P ^ , ^ ,
good point about the rainbow attacks , didn't knew about this before . I also solved it by doing the encryption on the server side , but the idea was , that I wanted to encrypt the password , before sending it to the server , as we currently only use http and no https .	A N P D N N , V V P D R , O R V O P V D N P D N N , & D N V , P O V P V D N , P V O P D N , P O R R V ^ & D ^ ,
Interesting idea so I spent some time thinking about it , but it is vulnerable to a man-in-the-middle attack . On an authentication request , the server sends some number M . The attacker sends ( M-1 ) to the client , and receives hash ( M-1 ) back . The attacker tries to authenticate again , receives challenge ( M-1 ) from the server and responds with hash ( M-1 ) . The attacker is now authenticated .	A N P O V D N V P O , & O V A P D A N , P D N N , D N V D N G , D N V , ^ , P D N , & V N , ^ , R , D N V P V R , V N , ^ , P D N & V P N , ^ , , D N V R V ,
You should never use an md5 or other hash functions for password encryption . See http://codahale.com/how-to-safely-store-a-password /	O V R V D ^ & A N N P N N , V U ,
Thank you !!! it was driving me crazy !!! :) About the manual ... mhhhh ... mmhh well .. Beside having to write my own product user manual ( which I hate and usually I avoid ) do I have to read others them too ??? :) :) :) ;) Thanks again	V O , O V V O A , E R D N , G , G R , P V P V D A N N N , D O V & R O V , V O V P V N O R , E E E E N R
Has anyone used GWT and can say it really delivers what it promises ?	V O V ^ & V V O R V O O V ,
Did you end up using GWT ? Did it deliver ?	V O V T V ^ , V O V ,
As with any tool , it needs to be used properly . One can wield a hammer skillfully and build something nice , or just wave it around at stuff and do more harm than good . Google Wave , I think , has become the prototype of " what's possible " with GWT . It's still rather hard to find good GWT design patterns because the technology is too new , so that can harm efforts to develop a very rich , large-scale web app in GWT . Before beginning such a project , I would recommend looking at examples of the model-view-presenter ( MVP ) pattern and be sure to use it , or something like it , as a foundation for the control flow of your web app . One nice thing about GWT , and writing your code in Java , is that the high degree of abstraction and decoupling necessary for a clean MVP implementation is pretty easy ( thanks to the compiler ) .	R P D N , O V P V V R , O V V D N R & V R A , & R V O P O N & V A N P A , ^ N , O V , V V D N P , L A , P ^ , L R R R P V A ^ N N P D N V R A , P O V V N P V D A A , A N N P ^ , P V A D N , O V V V P N P D A , N , N & V A P V O , & N P O , P D N P D N N P D N N , $ A N P ^ , & V D N P ^ , V P D A N P N & V A P D A ^ N V R A , N P D N , ,
I have created two quite substantial GWT applications in my three years at Google . It delivers what it promises - my apps were far more interactive and far more ajax-y than my knowledge of Javascript and my Javascript tooling would have let me produce using other tools . I also found the apps more interactive and more fun than the purely server-side alternatives I had used before moving to it . It is not free of warts , but it is a very productive environment to do the kinds of apps I do . And do watch Kelly's presentation . It , and some of the others from I / O , give a really clear idea of what GWT can do . You will pretty quickly get a good idea of whether it is the right tool for the task you are envisioning .	O V V $ R A ^ N P D $ N P ^ , O V O O V , D N V R R A & R A G P D N P ^ & D ^ N V V V O V V A N , O R V D N R A & A N P D R A N O V V P V P O , O V R A P N , & O V D R A N P V D N P V O V , & V V Z N , O , & D P D N P O , G , V D R A N P D ^ V V , O V R R V D A N P & O V D A N P D N O V V ,
I didn't know much Javascript when I tried to create my website . In fact , that is why I had been putting off creating the website . So for me , GWT made a huge difference as it enabled me to create a dynamic , cross-browser website that I definitely would not have been able to create without putting in significant effort into learning Javascript .	O V V A ^ R O V P V D N , P N , O V R O V V V T V D N , P P O , ^ V D A N P O V O P V D A , A N P O R V R V V A P V P V P A N P V ^ ,
This question may look familliar but I've discovered some rather more pertinent information and tried some other things ( which are detailed below ) so to avoid confusion I've created another question . Here's the JavaScript ( on an aspx page ): pdfXML is got from pdfData which is a hidden field on the page containing the XML that contains base64 encoded pdf data which is passed to the java applet . All the other values being passed to the applet's WriteDocument method have within range sensible values . The XML is like this ( the content of the PDF element is a lot bigger than displayed above , i've truncated the data for space reasons ; the PDF data is about 4Mb ) The signature of the Java method is : What happens is that somehow the xml string data is lost and by the time one gets into the Java the value of the PDFData parameter is null . I've debugged into the JS and the pdfXML param of the js method CallApplet definitely has content . I've also tried to add a param tag in to the applet tag and set its value before calling the applet and used GetParameter() from inside the applet . This results in a blank string rather than a null . This problem doesn't occur on every machine . Our QA department don't get this for example but since this is a client-side issue , one of our customers will probably see this . I'm utterly out of ideas here so any help would be appreciated ( with the obvious proviso that sadly I need to get this working rather than re-engineer this and the legacy systems the applet communicates with to avoid using an applet . )	O N V V A & L V A R R A N & V A A N , O V A T , R P V N L V A N , L D ^ , P D ^ N , ? V V P ? D V D A N P D N V D ^ O V ? V ^ N D V V P D ^ N , X D A N V V P D S ? N V P N A N , D ^ V P O , D N P D ^ N V D A A P N P , L V D N P N N , D ^ N V P $ , D N P D ^ N V , D V V R R D ^ N N V A & P D N N V P D ^ D N P D ? N V A , L V P D ^ & D ^ N P D ^ N ^ R V N , L R V P V D N N P P D N N & V D N P V D N & V C P P D N , O V P D N N R P D O , O N V V P A N , D ^ N V V O P N & & O V D A N , $ P D N V R V O , L R R P N R & D N V V V , P D A N R R O V P V O V R P V O & D N N D N V P P V V D N , ,
Sun's HotSpot JVM FAQ : When writing Java code , how do I distinguish between 32 and 64-bit operation ? There's no public API that allows you to distinguish between 32 and 64-bit operation . Think of 64-bit as just another platform in the write once , run anywhere tradition . However , if you'd like to write code which is platform specific ( shame on you ) , the system property sun.arch.data.model has the value " 32 " , " 64 " , or " unknown " . You can access this like System.getProperty ( " sun.arch.data.model ") . This property will obviously only actually be set on Sun JVMs / JREs . You might also try to parse the results of System.getProperty ( " java.vm.name ") , but this will also be highly vendor specific .	Z ^ ^ ^ , R V ^ N , R V O V P $ & A N , ? R A ^ O V O P V P $ & A N , V P A P R A N P D V R , V R N , R , P L V P V N O V N A , N P O , , D N N ^ V D N , $ , , , $ , , & , A , , O V V O P C , , C , , O N V R R R V V P ^ ^ , ^ , O V R V P V D N P C , , C , , & O V R V R N A ,
Does viewing the same page in a browser produce a JS error ?	V V D A N P D N V D ^ N ,
This was caused my a javascript error on the page that was being loaded . I set the webClient.getOptions() . setThrowExceptionOnScriptError ( false ); but it still threw the exception . SOLUTION : If you catch the ScriptException the page is STILL fully loaded and you can just continue processing and ignoring the exception . Example of HTML that fails :	O V V D D ^ N P D N O V V V , O V D C , C , A , & O R V D N , N , P O V D ^ D N V R R V & O V R V V & V D N , N P ^ O V ,
It won't be slower because you are using one over the other . It will be slower only if your implementation is less efficient .	O V V A P O V V $ P D O , O V V A R P D N V R A ,
+1 for basing your decision on * your requirements* .	$ P V D N P , D N ,
People refer to JSP the same way as ASP.NET is referred to . It is a framework .	N V P ^ D A N P ^ V V P , O V D N ,
looking for a javascript class like swfobject to embed java and have a simple fallback if the user doesn't have java or refuses the security prompt . thanks , Josh	V P D ^ N P ^ P D ^ & V D A N P D N V V ^ & V D N N , N , O
This helps ! I got a very strange problem while using applet to do batch file downloading from the server side . The Ajax request seems conflict with applet request , the applet file downloading interrupted with some socket exception . The applet works fine under JRE5.0 , it might be caused by our recent upgrade to JRE6.0 . div id= " java-applet " / div script var t ; function startApplet() { var attributes = { codebase : ' %= request.getContextPath() % ' , code : ' %=appletClass% ' , archive:'applet / SignedApplet.jar ' , width : 0 , height : 0 } ; var parameters = { para1:'value1 ' , para2:'value2 ' , java_arguments : ' -Xms64m -Xmx512m ' } ; var version = ' 1.6 ' ; var buildAppletTag = function() { var tag = ' applet ' ; for ( var attribute in attributes ) { tag += ( ' ' + attribute + ' = "' + attributes[attribute ] + '"') ; } tag += " " ; for ( var parameter in parameters ) { tag += ' param name= "' + parameter + '" value= "' + parameters[parameter ] + '" / ' ; } tag += ' / applet ' ; return tag ; } ; document.getElementById ( " java-applet ") . innerHTML = buildAppletTag ( attributes , parameters , version ); clearTimeout ( t ); } t = setTimeout ( " startApplet() " , 1000 ); // delayed / script	O V , O V D R A N P V N P V N N V P D N N , D ^ N V V P N N , D N N V V P A N N , D N V R P ^ , O V V V P D A N P ^ , ^ G , N , , N N G G , N C , C C = , G , , G C G , , N , , G , , G , G , , N , $ , N , $ , , C N = , G , , G , , ^ , , G G , , , G N = , $ , , G C = C , C N = , C , , P , G G G G , , G = , , , = G = , = , = G , = , , , G = , , , G , G G G G , , G = , G G , = G , , G , = G , = , , , , , N = , , N , , V N , , , ^ , , N , , C = C , N , N , N , ^ , G , , G = ^ , , C , , $ , , A , N
It means to be able to display a huge sheet , keeping the first row and column freeze . The idea is to be able to scroll through the sheet without losing the view of the first columns or rows which usually contain the column or row titles .	O V P V A P V D A N , V D A N & N N , D N V P V A P V P D N P V D N P D A N & N D R V D N & N N ,
The best practice is to not use " loads of popups " . That aside , when you talk about closing popup in " onload " event what would really happen is user would refresh the popup and it would close ( which would be REALLY weird from user's standpoint ) OR user would get a prompt from the browser ( close this window ? yes / no ) which is equally weird .	D A N V P R V , N P N , , O R , R O V P V N P , N , N O V R V V N V V D N & O V V , O V V R A P Z N , & N V V D N P D N , V O N , ! , ! , O V R A ,
The best way would be an XMLHTTP request to check login and close them if required - do this periodically . Astute readers ( meaning everyone ) will notice that this is an AJAX request , but if you phrase it that way it might get accepted as whoever dictated that you ' aren't allowed to use AJAX ' is clearly an idiot .	D A N V V D ^ N P V V & V O P V , V O R , A N , N N , V V O O V D ^ N , & P O V O O N O V V V P O V O O , V V P V ^ , V R D N ,
@matt b : not if you keep record of the last user activity .	@ G , R P O V N P D A N N ,
Or just tell your boss that you're brilliant and figured out a way to do it with Javascript instead of AJAX	& R V D N & L A & V T D N P V O P ^ R P ^
