javascript / XUL invoking java ? interesting ... any ref ?	^ , ^ V ^ , A , D N ,
js2-mode for Emacs will catch and highlight some common Javascript errors while you're editing your code . It's not as thorough as the external lint tools , but it's a lot more immediate in its feedback .	$ P ^ V V & N D N N N P L V D N , L R R A P D A N N , & L D N R A P D N ,
Please accept an answer .	V V D N ,
js2-mode for Emacs will catch and highlight some common Javascript errors while you're editing your code . It's not as thorough as the external lint tools , but it's a lot more immediate in its feedback .	^ P ^ V V & N D N N N P L V D N , L R R A P D A N N , & L D N R A P D N ,
This question is really confusing , Java ! = JavaScript	D N V R A , ^ = = ^
To match the body of the tag , you can try something like which you want to match case-insensitively . Works assuming there is no "" appearing in the actual script body and no " > " in the attributes for the tag . You can add whitespace globbers to the regexp to make it more robust . Note the use of . * ? to make sure the scanning stops at the first closing tag . To add the src attribute , you can try and use the second submatch to get ' src ' , and third to get the body . Again , you might want to add whitespace globbers . But would be best off by running the thing through a proper HTML / XML / SGML parser , because regexps can blow up in special cases .	P V D N P D N , O V V N P D O V P V R , V V R V D = V P D A N N & R = = = P D N P D N , O V V N N P D ^ P V O R A , V D V P = = = P V R D V V P D R A N , P V D ^ N , O V V & V D A N P V = ^ = , & A P V D N , R , O V V P V N N , & V V A R P V D N P D A ^ , ^ , ^ N , P ^ V V T P A N ,
Agreed . There are many cases it won't handle ( like the type attribute of the script tag ) . I suggested this as a start to build from .	! , X V A N O V V , P D N V P D N N , , O V D P D N P V P ,
+1 . I love regex , but use the right tool for the job . regex is the wrong tool for this job .	$ , O V ^ , & V D A N P D N , ^ V D A N P D N ,
Is that correct ? I would think the last peren should be inside the tag like this : ]* src =[ ' " ] ( [^ ' " ]* ) [ ' " ][^ > ]* > |[^ > ]* > ( [^ < ]* )) because I believe script tags not specified always with a closing node , not shorthand , so , never / >	V D A , O V V D A N V V P D N P D , C C C C C C C C C C C C C C C C C C C C C C C C C C C C P O V N V R A R P D A N , R N , R , R = =
Ugh , I = I'm and doesn't not = does not	! , O , L & V R , V R
Calling the function is not the problem , getting the result back is . With debug statements I can see clearly that the function is executed , but somehow the return value gets lost and I only get " null " .	V D N V R D N , V D N N V , P N N O V V R P D N V V , & R D N N V A & O R V , C , ,
How to keep the bottom of an SWT Browser widget visible when appending to the HTML content ?	R P V D A P D ^ N N P O V P D ^ N ,
@Fabian Steeg : You may want to log an SWT bug report about this .	@ G , O V V P V D ^ N N P D ,
I am interested to create a drag-and-drop layout designer using only JavaScript , HTML and CSS . The designer will allow the user to drag the page elements from one place to another ( something like Blogger ' s layout designer ) to create a site layout . But I don't want to hand code everything in JavaScript , I would prefer to write my application in . NET ( preferably ) or Java and rely on a compiler to compile it to JavaScript and HTML . What are the . NET or Java to JavaScript compilers that you have used and can recommend ? For Java to JavaScript I know GWT is available . What about . NET to JavaScript ? Microsoft did come out with Volta , but the project seems to be no longer available .	O V V P V D N N N V A ^ , ^ & ^ , D N V V D N P V D N N P $ N P D , N P ^ G G N N , P V D N N , & O V V P N N N P ^ , O V V P V D N P G ^ , R , & ^ & V P D N P V O P ^ & ^ , O V D G ^ & ^ P ^ ^ P O V V & V V , P ^ P ^ O V ^ V A , O P G ^ P ^ , ^ V V T P ^ , & D N V P V D A A ,
ExtGWT is a separate project to ExtJS and it's * awful* . For one , the guy has absolutely no clue when it comes to generics . Run away .	^ V D A N P ^ & L , N , P $ , D N V R D N R O V P ^ , ^ R ,
I wouldn't hand write any Javascript for UI . This can lead to maintenance disaster . jQuery is what I am using but I still wouldn't use it to write full UI Javascript code . ExtJS is also another good option if you plan to write in Javascript . In general what I am saying here is that it's so much easier to main in Java / C# than Javascript . Check out cappuccino framework and Atlas . Never used GWT . Script# is similar to GWT but for ASP.NET framework . Also depends on the requirement , if your site is public facing then RIA isn't a good option . It's all about which extreme end you pursuit ( hand written and web standard , or RAD or libraries like jQuery / ExtJS as the middle option ) .	O V N V D ^ P ^ , D V V P N N , ^ V O O V V & O R V V O P V A ^ ^ N , ^ V R D A N P O V P V P ^ , P R O O V V R V P L R R A P ^ P ^ , ^ P ^ , V T ^ N & ^ , R V ^ , ^ V A P ^ & P ^ N , R V P D N , P D N V A V R ^ V D A N , L R P D A N O N , N V & N N , & A & N P ^ , ^ P D A N , ,
I'm going to second the use of GWT . I've used it for several projects and , when used in combination with a modern editor like Eclipse or IDEA , it really makes the mess manageable . It's important to note that not only does it allow you to write in Java and have that transformed into optimized and obfuscated Javascript it also comes with a substantial subset of the core Java API . In addition to this they provide lots of additional classes for doing things like parsing and working with JSON and XML and communicating with a server via asynchronous HTTP . You can check out the docs to get an idea of what else they offer . Another feature that might be of special interest to you for implementing drag and drop functionality is it's integration with javascript libraries like Ext and scriptaculous . Either through pre-built interfaces or via JSNI	L V P V D V P ^ , L V O P A N & , O V P N P D A N P ^ & ^ , O R V D N A , L A P V O R R V O V O P V P ^ & V O V P A & A ^ O R V P D A N P D A ^ ^ , P N P D O V N P A N P V N P V & V P ^ & ^ & V P D N P A ^ , O V V T D N P V D N P O R O V , D V O V V P A N P O P V V & V N V L N P ^ N P ^ & ^ , & P A N & P ^
how to get rid of double-scrollbars on internal frame of GWT app	R P V A P ^ P A N P ^ N
Read this , it will most likely be a solution to your problem It explains how you can get the size of the window and manage it's scrolling in JavaScript .	V D , O V R R V D N P D N O V R O V V D N P D N & V L V P ^ ,
Which ajax calendar tool are you using . There are about 7000 out there . I've seen the ones from Yahoo ( YUI ) and a few others that take configurations for start and end dates where the user has to select something in between . If you're using a calendar that doesn't have that , you could add it by checking the date after the user selects and checking if that is outside your range . Then display a message and leave the calendar visable for them to pick again . ( Might be easier to switch to a calendar that already supports this though )	D ^ N N V O V , X V P $ P R , L V D N P ^ , ^ , & D A N P V N P V & N N R D N V P V O P P , P L V D N P V V O , O V V O P V D N P D N V & V P O V P D N , R V D N & V D N A P O P V R , , V V A P V P D N P R V D P ,
Java equivalent to JavaScript's encodeURIComponent that produces identical output ?	^ V P Z ^ O V A N ,
Iiips . I don't have a solution for you then :-) .	! , O V V D N P O R E ,
@Ravi Wallau very nice !	@ G R A ,
@Shailendra ` [~ ' ( ) ! ] ` means `" ~ "` or `"'"` or `" ( "` or `")"` or `" ! "` . :) I recommend learning the regex basics , too , though . ( I also didn't expand on that since at least two other answers show the respective Java code . )	@ G G G G G G G G V G G G G G G G G G G G G G G G G E O V V D ^ N , R , P , , O R V V P D P O R $ A N V D A ^ N , ,
I came up with another implementation documented at , http://blog.sangupta.com/2010/05/encodeuricomponent-and.html . The implementation can also handle Unicode bytes .	O V T P D N V P , U , D N V R V ^ N ,
I have found PercentEscaper class from google-http-java-client library , that can be used to implement encodeURIComponent quite easily . PercentEscaper from google-http-java-client javadoc google-http-java-client home	O V V ^ N P ^ N , O V V V P V ^ R R , ^ P ^ ^ ^ N
Generally when the page loads , the slideshow code already has a list of the available files . It would need to use AJAX to poll the server periodically to determine if this list has changed ( a user had uploaded a file ) . Typically you'd just replace the array or string holding the list of files in the AJAX call . The server-side code just needs to supply the list of files in a folder in a format the slideshow expects . Here's a collection of different slideshows you can grab and modify for this purpose .	R R D N V , D N N R V D N P D A N , O V V P V ^ P N D N R P V P D N V V , D N V V D N , , R L R V D N & N V D N P N P D ^ N , D N N R V P V D N P N P D N P D N D N V , L D N P A P O V V & V P D N ,
You can use javascript and append the time to every request . Provided that javascript is enabled , you can add the following to your links : You can do something similar , if you need timezone information . This question may help .	O V V ^ & V D N P A N , V D ^ V V , O V V D N P D N , O V V O A , P O V N N , D N V V ,
I can get the ip address onto the page in a hidden field using a JSF bean . The problem is passing it through to the JAAS login module .	O V V D N N P D N P D A N V D ^ N , D N V V O P P D ^ V N ,
How are you iterating over each item in the cart ?	R V O V P D N P D N ,
I assume your cart is a list of objects , each having the attributes id and quantity . So I would expect you code to look something like this ( noting Peter's answer about using a ' button ') : I'm not entirely sure what you are trying to do with the ' request ' parameter in your original code but if this is the HTTP request all you will get when you try to write it to the JSP is the result of the request.toString method .	O V D N V D N P N , O V D N N & N , P O V V O N P V O P O , V Z N P V D , N , , L R R A O O V V P V P D , N , N P D A N & P O V D ^ V X O V V R O V P V O P D ^ V D N P D ^ N ,
I have J2EE project which uses wicket framework . I want to know how can I prevent from javascript injection in wicket ?	O V ^ N O V N N , O V P V R V O V P ^ N P N ,
i am looking for javascript / flash / java graphic lib . that able to render nicely a very complex relationship where one node is relate to another node etc . for example a --> b ---> c b --> d , e , f any recommandation library ?	O V V P ^ , N , ^ A N , O A P V R D R A N R $ N V V P A N G , P N D G G G G G G G , N , G A N N ,
Prefuse is very cool and Java based . Demo here .	N V R A & ^ V , N R ,
How to focus the calender after selecting the date from calender .. I am selecting the date and calender is also closing but after that focus is missing . Please help me on this issue .. Regards Sk	R P V D N P V D N P N , O V V D N & N V R V & P O N V V , R V O P A N , N G
This appears to be JavaScript code , not Java .	O V P V ^ N , R ^ ,
Serialize ? Do you mean synchronize ? JSObject works by passing primitives to a single JSContext JNI NPAPI wrapper which acts on the DOM in the underlying browser implementation . Are you referring to the passing of primitives through JNI ? I don't know much about how chrome's JS engine works , but I assume that since the liveconnect NPAPI in chrome is the same as the others , the ability to write multithreaded javascript has nothing to do with multithreaded JSObject access . The affected code extends the same abstract JSObject class that firefox uses . There are several implementations of JSObject / liveconnect -- a few for netscape / firefox and one for ie ( ocx ) . All behave differently as far as multiple threads go . DOM access isn't threadsafe in general as far as liveconnect is concerned . So , officially , multiple threads accessing the DOM is undefined . If you manage to actually access the DOM through something other than code scoped in DOMService.run() , you'll get crazy deadlocks and race conditions . So , basically , you need all of your java threads to post all DOMActions to your DOM access dispatch thread only .	V , V O V V , ^ V P V N P D A ^ ^ ^ N D V P D ^ P D A N N , V O V P D V P N P ^ , O V V R P R Z ^ N V , & O V O P D N ^ P N V D A P D N , D N P V A ^ V N P V P A ^ N , D A N V D A A ^ N P ^ V , X V A N P ^ , N , D A P ^ , ^ & $ P ^ , G , , X V R R R R A N V , ^ N V A P A P R P N V A , P , R , A N V D ^ V A , P O V P R V D ^ P N R P N N P ^ , L V A N & N N , P , R , O V R P D ^ N P V D ^ P D ^ N N N R ,
After posting my question , I managed to come up with a rather hacky ( crappy ? ) solution . Can't say it's my proudest moment as a engineer , but it works . * * Some code omitted to protect the innocent .	P V D N , O V P V T P D R A , N , , N , V V L D A N P D N , & O V , , , A N V P V D A ,
Rhino provides Scriptable interface and ScriptableObject helper class to implement a javascript object backed by a java object . When ScriptableObject is constructed , its methods with names starting with jsFunction___ , jsStaticFunction___ , jsGet___ , jsSet___ , jsConstructor are automatically defined for the javascript object . This way you can defined funations , static frunctions , instance properties ( by its accessors ) , and constructor . The question is how to define static properties ? By static properties I mean properties on the constructor , like static methods are methods on the constructor . The only way I see for now is to use finishInit method , and define static properties manually . But what is the right way ?	^ V A N & ^ N N P V D ^ N V P D ^ N , R ^ V V , L N P N V P G , G , G , G , ^ V R A P D ^ N , D N O V V N , A N , N N , P D N , , & N , D N V R P V A N , P A N O V N P D N , R A N V N P D N , D A N O V P R V P V A N , & V A N R , & O V D A N ,
Personally , I would say you're doing it wrong . I wouldn't hash a password on the client side ( which is what GWT is ) . If you hash your password , you will undoubtedly want to salt it , otherwise you will be susceptible to rainbow attacks . If you hash + salt it on the client side , your salt will be accessible to your users . If I were you , I would hash + salt your password on the server side . This will allow you to use your standard Java code to perform your MD5 hash . My 2 cents . -JP	R , O V V L V O R , O V V D N P D N N , O V O ^ V , , P O V D N , O V R V P V O , R O V V A P N N , P O V G N O P D N N , D N V V A P D N , P O V O , O V V G N D N P D N N , D V V O P V D A ^ N P V D ^ N , D $ N , G
Another idea that may fit your need is something called zero knowledge auth . ( Ie . the server never needs to know the user's plain text password . ) Basically , when setting the initial password , the client hashes the user's password N times ( where N is a largish number like 1000 ) , and then sends that final hash to the server along with N . The server stores the hash and N . Later , when the user wants to authenticate , the server tells the client N-1 , and the client hashes the password the user types N-1 times and sends that to the server . The server does 1 more hash on the received hash , and ( hopefully ) gets the stored hash . The server then stores the N-1 hash and N-1 number . Each time the user authenticates , the server decrements the stored N and saves the previous hash . When N gets down to 0 , the user must choose and set a new password . The server must ensure that it never asks for the same iteration , otherwise it is vulnerable to a replay . You can't really enforce that condition from the client side because the client ( especially a browser ) can't reliably keep track of the last N .	D N P V V D N V N V $ N N , , G , D N R V P V D Z A N N , , R , O V D A N , D N V D Z N G N , R G V D A N P $ , , & R V D A N P D N P P G , D N V D N & G , R , R D N V P V , D N V D N G , & D N V D N D N V G N & V O P D N , D N V $ A N P D A N , & , R , V D A N , D N R V D G N & G N , D N D N V , D N V D V G & V D A N , R & V T P $ , D N V V & V D A N , D N V V P O R V P D A N , R O V A P D N , O V R V D N P D N N P D N , R D N , V R V N P D A G ,
I think you're always going to be vulnerable to a man in the middle attack . Keyloggers too . Also drunken confessions of passwords . We can only raise the bar so far with reasonable coding efforts .	O V L R V P V A P D N P D A N , ^ R , R A N P N , O V R V D N R R P A N N ,
To auto complete a previously written string . Is it possible ? EDIT I'm editing javascript / java if that matters .	P R V D R A N , V O A , N L V ^ , ^ & O V ,
Also , Google " Textmate tips " - I seem to pick up something new in every blogpost I read about TM .	R , ^ , ^ N , , O V P V T N A P A N O V P G ,
Why the close ? This looks like an interesting question to me ..	R D A , D V P D A N P O ,
I've looked at it briefly for an older application at one of my jobs , and I must admit that it was very impressive . All the code was written in Java , and the javascript was built beautifully . It had AJAX , dynamic pages , the works . There are plugins for it as well , such as the Ext GWT framework . It's definitely worth looking into and trying out , but you may find that the development cycle doesn't " feel " right , so you might opt to use regular JavaScript .	L V P O R P D A N P $ P D N , & O V V P O V R A , X D N V V P ^ , & D ^ V V R , O V ^ , A N , D V , X V N P O R R , R P D ^ ^ N , L R A V P & V T , & O V V P D N N V , V , R , P O V V P V A ^ ,
Oh , and i guess the biggest downsides is : - compile time - hosted mode is great , but you can't currently use it for the system non-default browser - GWT 2.0 and out of process hosted mode should fix this though . - The java language can be verbose at times , although that is far from a showstopper . ( gwt for scala would be awfully nice :) )	! , & O V D A N V , , V N , V N V A , & O V R V O P D N A N , ^ $ & R P N V N V V D P , , D ^ N V V V P N , P O V A P D N , , ^ P ^ V V R A E ,
Simply GWT rocks google is making " google wave " fully on GWT .	R ^ N ^ V V , ^ N , R P ^ ,
There is a steep learning curve , but for really dynamic ui applications , there is just no way that you can build from hand in javascript as efficiently . What I mean in particular is for instance an application frontend for a service where all the searchable fields and result type s and length were completely unknown . For this type of thing , a dynamic runtime defined ui , there is nothing better than GWT in my opinion . The drawbacks are the steep learning curve ( especially for non-swing Java programmers , traditional request / response servlet api guys and gals ) and getting cornered into GWT once you make that decision .	X V D A V N , & P R A ^ N , X V R D N P O V V P N P ^ P R , O O V P A V P N D N N P D N R X D A N & N N G & N V R A , P D N P N , D A N A N , X V V R P ^ P D N , D N V D A V N , R P A ^ N , A N , N N ^ N & N , & V V P ^ R O V D N ,
Detecting a 64-bit jre in a 32-bit browser ?	V D A ^ P D A N ,
HtmlUnit property undefined script error	^ N A N N
Can you provide a public website to test against ? As I am not able to load the JS in https://mmlab1msslnx.fmr.com/mcwebadm/cgi-bin/edit_local.pl?operation=edit return_address=%2Fmcwebadm%2Fcgi-bin% 2Fmenu.pl selected=22020c341b11de96c3000423d43f1d Also , please use latest HtmlUnit 2.5 version .	V O V D A N P V P , P O V R A P N D ^ P U G G G R , ! V A ^ $ N ,
I want to develop a website web chat application like yahoo . Only difference is that I want to make it web based not desktop . I will be implementing it in jsp / php with ajax . I want to know whether jsp or php will be better for this . What will be advantages or disadvantages of both . Which one of the two would you prefer and why ? Will jsp applicatioon will be slower then php ? I am thinking of using using struts with jsp and ajax . Will using of struts decrease speed ? I know jsp , java and struts but not php . Is php more difficult then jsp ?	O V P V D N N N N P ^ , A N V P O V P V O N V R N , O V V V O P ^ , ^ P ^ , O V P V P ^ & ^ V V A P O , O V V N & N P O , ^ $ P D $ V O V & R , V ^ N V V A R ^ , O V V P V V ^ P ^ & ^ , V V P ^ V N , O V ^ , ^ & ^ & R ^ , V ^ R A R ^ ,
Use whichever one that you're a better programmer in . The task can be accomplished in either language just the same . You can argue endlessly about language features , the bottom line will be whatever works best for you .	V O $ P L D A N P , D N V V V P D N R D A , O V V R P N N , D A N V V O V A P O ,
I've worked with both JSP and PHP . Even if I prefer PHP , I still work with JSP from time to time depending on my requirements . There is not really a better choice . It always , ** always ** depends on your requirements .	L V P D ^ & ^ , R P O V ^ , O R V P ^ P N P N V P D N , X V R R D A N , O R , , R , V P D N ,
If you know both well then choose any . But if facing difficulty then PHP is better to stay with . Reasons : fundamentally easy large no . of developer libraries are available . Easy to integrate with other scripting languages But structural syntax becomes a problem as they are so many in cumbersome manner . Use PHP tag library for that works just like JSTL . " Choosing language is not the problem but efficient implementation of code is the only hurdle . "	P O V D R R V D , & P V N R ^ V A P V P , N , R A A ! , P N N V A , A P V P A N N & A N V D N P O V R A P A N , V ^ N N P O V R P ^ , , V N V R D N & A N P N V D A N , ,
You could build one pretty easily . Have something like a div set up like this : Then add Java Plugin Detection ( builder ) to your JavaScript . Then if that returns true , then do something like :	O V V $ R R , V N P D N V T P O , R V ^ N N , N , P D ^ , R P O V N , R V O P ,
We are using Java and Javascript to try to display a huge sheet with freeze panes , but it is being very difficult . Does someone know about a library , method , script or something , either free or commercial , to do this ? Thanks .	O V V ^ & ^ P V P V D A N P N N , & O V V R A , V O V P D N , N , N & N , R A & A , P V O , N ,
Closing popups on session expiry	V N P N N
I'm ok with popups as long as I don't need any of the information behind it . If I do , I get pissed at them and curse the designers .	L A P N R A P O V V D P D N P O , P O V , O V V P O & V D N ,
Won't the periodic HTTP request keep the session alive ?	V D A N N V D N A ,
In a past life , I made a popup manager object that maintained what windows were open . You should probably make one of these if not already done . Then , you can use setTimeout to call a function after so many minutes ( or whatever time you want ) have gone by . This will check for recent activity ( probably via AJAX ) and close the popup if you determine that the session has expired . If not , call setTimeout again with your new time , properly adjusted for most recent activity . ^^before the AJAX edit . Well , since you can't use AJAX , can you put something in the url that will tell you it's a popup ? Then you'll know not to show the login screen when the user hits reload .	P D A N , O V D A N N O V D N V A , O V R V $ P O P R R A , R , O V V C P V D N P R A N , & D N O V , V V P , O V V P A N , R P ^ , & V D N P O V & D N V V , P R , V ^ R P D A N , R V P R A N , G D ^ V , ! , & O V V ^ , V O V O P D N O V V O L D N , R L V R P V D N N R D N V N ,
An alternative way to implement modal dialogs in a web application is to : Model the dialog in a DIV , default styled to display : none ; On desired action , inject / append the Modal dialog DIV into the page source Reset the CSS display so the modal dialog DIV is visible , overlaid on top of the page by setting the CSS z-index property Make the modal dialog disappear upon either successful execution or the user cancelling out Because the modal dialog is part of the page source , the dialog will disappear when the session times out . This approach doesn't spawn supporting windows that can be orphaned as the poster is attempting to address . And it fits the requirement of not using AJAX . You can code these by hand , but I don't really recommend it because of having to support various browser . I suggest looking at the Yahoo User Interface . You can tailor it to suit your needs ( IE : only modal dialogs ) , and it would support AJAX if requirements change down the road . Beware of spawning modal dialogs from modal dialogs .	D A N P V A N P D N N V P , V D N P D ^ , A V P V , N , R A N , V , V D A N ^ P D N N V D ^ V P D A N ^ V A , V P N P D N P V D ^ N N V D A N V P D A N & D N V T P D A N V N P D N N , D N V V R D N V T , O N V V V N O V V V P D N V V P N , & O V D N P R V ^ , O V V O P N , & O V R V O P P V P V A N , O V V P D ^ N N , O V V O P V D V , ^ , R A N , , & O V V ^ P N V T D N , V P V A N P A N ,
